brand,product_count,total_volume,avg_volume_per_product,avg_price,median_price,price_range,market_share_volume,smart_products,traditional_products,price_premium
Kasa,8,16800,2100.0,34.238749999999996,32.99,46.0,20.986883198001248,8,0,5.850525294432529
Leviton,43,15600,362.7906976744186,20.072093023255814,13.98,57.23,19.48782011242973,6,37,-37.94628629052338
Lutron,30,9650,321.6666666666667,73.83999999999999,54.875,622.5699999999999,12.054965646470956,11,19,128.27944325481795
GE,24,8050,335.4166666666667,20.567083333333333,14.99,47.84,10.056214865708931,8,16,-36.41600307815847
ELEGRP,15,3950,263.3333333333333,34.17666666666666,24.99,80.0,4.934415990006246,0,15,5.658592077087787
BESTTEN,14,3650,260.7142857142857,33.018571428571434,25.49,74.0,4.559650218613367,0,14,2.0782922912205626
ENERLITES Store,7,2850,407.14285714285717,21.131428571428568,17.99,28.0,3.560274828232355,0,7,-34.671306209850115
Amazon,7,2450,350.0,25.528571428571432,19.99,29.88,3.0605871330418486,7,0,-21.077355460385427
Legrand,9,2100,233.33333333333334,16.756666666666668,10.79,36.21,2.623360399750156,0,9,-48.19606531049251
TP-Link,4,2100,525.0,46.99,48.49,41.0,2.623360399750156,4,0,45.27154710920771
TREATLIFE,7,1950,278.57142857142856,45.56142857142857,46.99,50.0,2.4359775140537163,6,1,40.855058886509646
AIDA Store,5,1050,210.0,19.77,15.99,25.1,1.311680199875078,0,5,-38.880219486081366
CML Hardware Store,3,800,266.6666666666667,34.85666666666666,28.49,62.6,0.9993753903810119,0,3,7.7608404710920675
MOES,3,750,250.0,18.656666666666666,19.99,11.999999999999998,0.9369144284821986,1,2,-42.322135974304075
greencycle Store,2,600,300.0,10.99,10.99,4.0,0.749531542785759,0,2,-66.02395610278373
WENGART Store,2,600,300.0,7.59,7.59,1.6000000000000005,0.749531542785759,0,2,-76.53519807280514
Philips Hue,1,600,600.0,31.0,31.0,0.0,0.749531542785759,1,0,-4.162205567451826
SOZULAMP Store,5,600,120.0,28.727999999999998,18.99,41.019999999999996,0.749531542785759,0,5,-11.186188436830847
ThunderWay Store,3,550,183.33333333333334,21.656666666666666,17.99,19.0,0.6870705808869456,0,3,-33.047510706638114
Feit Electric Store,2,550,275.0,29.869999999999997,29.869999999999997,11.760000000000002,0.6870705808869456,1,1,-7.6556477516060095
Cloudy Bay,1,500,500.0,12.99,12.99,0.0,0.6246096189881324,0,1,-59.84087259100642
Amico Store,2,500,250.0,32.99,32.99,34.0,0.6246096189881324,0,2,1.9899625267665977
GHome Smart Store,4,400,100.0,32.24,31.990000000000002,31.000000000000004,0.49968769519050593,4,0,-0.3286937901498921
Leviton Store,1,300,300.0,22.38,22.38,0.0,0.3747657713928795,1,0,-30.811295503212
Thinkbee Store,1,300,300.0,15.99,15.99,0.0,0.3747657713928795,1,0,-50.56624732334048
Baomain Store,1,300,300.0,7.46,7.46,0.0,0.3747657713928795,0,1,-76.93709850107066
UltraPro Store,2,300,150.0,27.369999999999997,27.369999999999997,1.2600000000000016,0.3747657713928795,2,0,-15.384502141327639
WYZE Store,1,200,200.0,41.9,41.9,0.0,0.24984384759525297,1,0,29.535599571734462
TAKETEK Store,1,200,200.0,26.99,26.99,0.0,0.24984384759525297,0,1,-16.55928800856532
meross Store,3,200,66.66666666666667,36.92333333333333,20.99,48.199999999999996,0.24984384759525297,3,0,14.150026766595293
Humpptom,1,200,200.0,25.99,25.99,0.0,0.24984384759525297,1,0,-19.65082976445397
Deako Store,1,200,200.0,59.99,59.99,0.0,0.24984384759525297,0,1,85.46158993576016
GHome Store,2,150,75.0,45.49,45.49,15.0,0.18738288569643974,2,0,40.63423447537473
Enbrighten Store,2,150,75.0,28.82,28.82,25.340000000000003,0.18738288569643974,1,1,-10.901766595289075
TORCHSTAR Store,1,100,100.0,39.99,39.99,0.0,0.12492192379762648,0,1,23.630754817987153
DEWENWILS Store,1,100,100.0,21.99,21.99,0.0,0.12492192379762648,0,1,-32.01699678800857
Lee Store,1,100,100.0,14.3,14.3,0.0,0.12492192379762648,0,1,-55.79095289079229
Aqara Store,1,100,100.0,39.99,39.99,0.0,0.12492192379762648,1,0,23.630754817987153
HAMRVL Store,1,50,50.0,8.99,8.99,0.0,0.06246096189881324,0,1,-72.20703961456103
ORVIBO Store,1,50,50.0,39.99,39.99,0.0,0.06246096189881324,1,0,23.630754817987153
Onite Store,1,50,50.0,9.99,9.99,0.0,0.06246096189881324,0,1,-69.11549785867237
ELECTECK Store,1,50,50.0,19.99,19.99,0.0,0.06246096189881324,0,1,-38.200080299785874
EVA LOGIK Store,1,50,50.0,27.99,27.99,0.0,0.06246096189881324,1,0,-13.46774625267667
Nexete Store,1,50,50.0,20.97,20.97,0.0,0.06246096189881324,1,0,-35.170369379015
YNF Store,1,50,50.0,28.17,28.17,0.0,0.06246096189881324,1,0,-12.911268736616698
LANBON Store,1,50,50.0,43.99,43.99,0.0,0.06246096189881324,1,0,35.99692184154175
ZOOZ Store,1,50,50.0,12.95,12.95,0.0,0.06246096189881324,0,1,-59.96453426124197
Aiwode Store,1,50,50.0,18.99,18.99,0.0,0.06246096189881324,0,1,-41.29162205567452
