source,platform_id,title,brand,model_number,price_usd,list_price_usd,rating,reviews_count,position,category,image_url,product_url,availability,recent_sales,is_bestseller,unit_price,collection,delivery_free,pickup_available,features,description,extract_date
amazon,B095X5HTLS,"Amazon Basics Smart Dimmer Switch, 3-Way, Works with Alexa Only, 2.4 GHz Wi-Fi, No Hub Required, White",Amazon,,19.99,,4.3,5959,1,Dimmer Switches,https://m.media-amazon.com/images/I/711bVtGfjdL._AC_UL320_.jpg,https://www.amazon.com/dp/B095X5HTLS,,300+ bought in past month,,,,,,,,6/6/25
amazon,B099RJ2HRN,"ELEGRP Digital Dimmer Light Switch for 300W Dimmable LED/CFL Lights and 600W Incandescent/Halogen, Single Pole/3-Way LED Slide Dimmer, Wall Plate Included, UL Listed, 6 Pack, Matte White",ELEGRP,,59.99,30,4.3,2813,2,Dimmer Switches,https://m.media-amazon.com/images/I/61tDNrL7mVL._AC_UL320_.jpg,https://www.amazon.com/dp/B099RJ2HRN,,1K+ bought in past month,,$30.00$30.00/count,,,,,,6/6/25
amazon,B0076HPM8A,"Leviton SureSlide Dimmer Switch for Dimmable LED, Halogen and Incandescent Bulbs, 6674-P0W, White",Leviton,,14.07,28.33,4.5,6134,3,Dimmer Switches,https://m.media-amazon.com/images/I/51c-O6v7i6L._AC_UL320_.jpg,https://www.amazon.com/dp/B0076HPM8A,,4K+ bought in past month,,,,,,,,6/6/25
amazon,B094XXG14N,"ELEGRP Digital Dimmer Light Switch for 300W Dimmable LED/CFL Lights and 600W Incandescent/Halogen, Single Pole/3-Way LED Slide Dimmer Light Switch, Wall Plate Included, UL Listed, 10 Pack, Matte White",ELEGRP,,89.99,9,4.3,1706,4,Dimmer Switches,https://m.media-amazon.com/images/I/61g-mHkxLxS._AC_UL320_.jpg,https://www.amazon.com/dp/B094XXG14N,,500+ bought in past month,,$9.00$9.00/count,,,,,,6/6/25
amazon,B0BC2MWTR9,"Kasa Smart 3 Way Dimmer Switch KIT, Dimmable Light Switch Compatible with Alexa, Google Assistant and SmartThings, Neutral Wire Needed, 2.4GHz, ETL Certified, No Hub Required, White (KS230 KIT v2)",Kasa,,42.99,54.99,4.4,6173,5,Dimmer Switches,https://m.media-amazon.com/images/I/71S0-zkaFQL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BC2MWTR9,,2K+ bought in past month,,,,,,,,6/6/25
amazon,B07S29S7QD,"BESTTEN 2 Pack Dimmer Light Switch, Universal Lighting Control, Single Pole or 3 Way, Compatible with LED Dimmable Lamp, CFL, Incandescent, Halogen Bulb, Decorator Wallplate Included, UL Listed, White",BESTTEN,,16.99,8.5,4.2,6009,6,Dimmer Switches,https://m.media-amazon.com/images/I/514RmEOs7QL._AC_UL320_.jpg,https://www.amazon.com/dp/B07S29S7QD,,1K+ bought in past month,,$8.50$8.50/count,,,,,,6/6/25
amazon,B0D3TBK88B,"Amico 6 Pack Dimmer Light Switch, Single-Pole or 3-Way Slide Dimmer Switches for Led Lights, Suitable for 150W Dimmable LED/CFL Lights and 600W Incandescent/Halogen, Wall Plate Included, White",GE,,44.99,7.5,4.2,152,7,Dimmer Switches,https://m.media-amazon.com/images/I/61thoah1DVL._AC_UL320_.jpg,https://www.amazon.com/dp/B0D3TBK88B,,900+ bought in past month,,$7.50$7.50/count,,,,,,6/6/25
amazon,B0CTZQZXLL,"ELEGRP Digital Toggle Dimmer Switch for Dimmable LED, CFL and Incandescent Light Bulbs, Single Pole or 3-Way Toggle LED Dimmer Light Switch, Wall Plate Included, UL Listed, 6 Pack, White",ELEGRP,,62.99,10.5,4.4,433,8,Dimmer Switches,https://m.media-amazon.com/images/I/61tqBDefWgL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CTZQZXLL,,200+ bought in past month,,$10.50$10.50/count,,,,,,6/6/25
amazon,B00NG0ELL0,"Leviton Decora Slide Dimmer Switch for Dimmable LED, Halogen and Incandescent Bulbs, DSL06-1LZ, White with Ivory and Light Almond Faceplates",Leviton,,24.95,27.24,4.6,1783,9,Dimmer Switches,https://m.media-amazon.com/images/I/816RLeEOoZL._AC_UL320_.jpg,https://www.amazon.com/dp/B00NG0ELL0,,1K+ bought in past month,,,,,,,,6/6/25
amazon,B079775ZZQ,"Kasa Smart Dimmer Switch HS220, Single Pole, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch Works with Alexa and Google Home, UL Certified, No Hub Required, 1 Pack",Kasa,,19.98,22.99,4.5,34098,10,Dimmer Switches,https://m.media-amazon.com/images/I/61gRmSeNXBL._AC_UL320_.jpg,https://www.amazon.com/dp/B079775ZZQ,,3K+ bought in past month,,,,,,,,6/6/25
