source,platform_id,title,brand,model_number,price_usd,list_price_usd,rating,reviews_count,position,category,image_url,product_url,availability,recent_sales,is_bestseller,unit_price,collection,delivery_free,pickup_available,features,description,extract_date,sales_volume_numeric,product_type,volume_share
amazon,B01EZV35QU,"Kasa Smart Light Switch HS200, Single Pole, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch Works with Alexa and Google Home, UL Certified, No Hub Required , White, HS200",Kasa,,16.99,19.99,4.5,41955.0,13,Light Switches,https://m.media-amazon.com/images/I/611JGGx4DPL._AC_UL320_.jpg,https://www.amazon.com/dp/B01EZV35QU,,5K+ bought in past month,,19.99,,,,,,6/6/25,5000,Smart,6.2460961898813245
amazon,B0076HPM8A,"Leviton SureSlide Dimmer Switch for Dimmable LED, Halogen and Incandescent Bulbs, 6674-P0W, White",Leviton,,14.07,28.33,4.5,6134.0,3,Dimmer Switches,https://m.media-amazon.com/images/I/51c-O6v7i6L._AC_UL320_.jpg,https://www.amazon.com/dp/B0076HPM8A,,4K+ bought in past month,,28.33,,,,,,6/6/25,4000,Traditional,4.996876951905059
amazon,B079775ZZQ,"Kasa Smart Dimmer Switch HS220, Single Pole, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch Works with Alexa and Google Home, UL Certified, No Hub Required, 1 Pack",Kasa,,19.98,22.99,4.5,34098.0,10,Dimmer Switches,https://m.media-amazon.com/images/I/61gRmSeNXBL._AC_UL320_.jpg,https://www.amazon.com/dp/B079775ZZQ,,3K+ bought in past month,,22.99,,,,,,6/6/25,3000,Smart,3.7476577139287945
amazon,B07HGW8N7R,"Kasa Smart Light Switch HS200P3, Single Pole, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch Works with Alexa and Google Home, UL Certified, No Hub Required, 3 Count -Pack of 1 , White",Kasa,,42.99,14.33,4.6,26357.0,5,Light Switches,https://m.media-amazon.com/images/I/61Du7b9kpxL._AC_UL320_.jpg,https://www.amazon.com/dp/B07HGW8N7R,,3K+ bought in past month,,14.33,,,,,,6/6/25,3000,Smart,3.7476577139287945
amazon,B07724HNTX,"Kasa Smart 3 Way Switch HS210 KIT, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch works with Alexa and Google Home, UL Certified, No Hub Required, White,2 Count (Pack of 1)",Kasa,,33.99,17.0,4.6,19180.0,15,Light Switches,https://m.media-amazon.com/images/I/61wXUxO7APL._AC_UL320_.jpg,https://www.amazon.com/dp/B07724HNTX,,2K+ bought in past month,,17.0,,,,,,6/6/25,2000,Smart,2.4984384759525295
amazon,B0BC2MWTR9,"Kasa Smart 3 Way Dimmer Switch KIT, Dimmable Light Switch Compatible with Alexa, Google Assistant and SmartThings, Neutral Wire Needed, 2.4GHz, ETL Certified, No Hub Required, White (KS230 KIT v2)",Kasa,,42.99,54.99,4.4,6173.0,5,Dimmer Switches,https://m.media-amazon.com/images/I/71S0-zkaFQL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BC2MWTR9,,2K+ bought in past month,,54.99,,,,,,6/6/25,2000,Smart,2.4984384759525295
amazon,B08SJ3Z8XD,"Leviton 15 Amp Decora Antimicrobical Wall Switch Single-Pole, White, 5601-2AW",Leviton,,3.52,,4.7,702.0,6,Light Switches,https://m.media-amazon.com/images/I/614oAmQXHdS._AC_UL320_.jpg,https://www.amazon.com/dp/B08SJ3Z8XD,,2K+ bought in past month,,3.52,,,,,,6/6/25,2000,Traditional,2.4984384759525295
amazon,B006UTQCA2,"Lutron Ariadni/Toggler LED+ Dimmer Light Switch for Dimmable LED, Halogen and Incandescent Dimmer Switch, 150W, Single-Pole/3-Way, AYCL-153P-WH, White",Lutron,,19.47,25.0,4.6,6806.0,11,Dimmer Switches,https://m.media-amazon.com/images/I/71IqSkJGLgL._AC_UL320_.jpg,https://www.amazon.com/dp/B006UTQCA2,,2K+ bought in past month,,25.0,,,,,,6/6/25,2000,Traditional,2.4984384759525295
amazon,B08W8GLPD5,"Philips Hue Smart Dimmer Switch with Remote, White - 1 Pack - Turns Hue Lights On, Off, Dims or Brightens - Requires Hue Bridge - Easy, No-Wire Installation",GE,,22.49,3.98,4.6,11301.0,20,Light Switches,https://m.media-amazon.com/images/I/5134Diycx6L._AC_UL320_.jpg,https://www.amazon.com/dp/B08W8GLPD5,,2K+ bought in past month,,3.98,,,,,,6/6/25,2000,Smart,2.4984384759525295
amazon,B0CHMQW45X,"TREATLIFE Dimmer Plug with 100FT Wireless Remote Control, IP44 Weather Resistance, Outdoor Dimmer for String Lights, Lamps, Patio Lights, Max Power 400W",TREATLIFE,,23.99,,4.4,435.0,16,Dimmer Switches,https://m.media-amazon.com/images/I/61M1QAul+fL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CHMQW45X,,1K+ bought in past month,,23.99,,,,,,6/6/25,1000,Traditional,1.2492192379762648
